region,district,latitude,longitude
Bakool,Ceel Barde,4.6947431,43.2434254
Bakool,Rab Dhuure,4.3457412,43.1512379
Bakool,Tayeeglow,3.78,44.5375004
Bakool,Waajid,3.80925,43.247089
Bakool,Xudur,4.1237042,43.8915563
Bay,Baydhaba,3.26636,43.63929
Bay,Buur Hakaba,2.794785,44.0784549
Bay,Diinsoor,1.995,42.8089931
Bay,Qansax Dheere,2.87123,43.004341
Lower Shabelle,Afgooye,2.2354874,44.9969419
Lower Shabelle,Baraawe,1.112777,44.031005
Lower Shabelle,Kurtunwaarey,1.65,44.135455
Lower Shabelle,Marka,1.7148358,44.7699326
Lower Shabelle,Qoryooley,1.789663,44.530629
Lower Shabelle,Sablaale,1.2423281,43.4794898
Lower Shabelle,Wanla Weyn,2.6192699,44.8936393